,synonyms,percentage,Keyword
0,strong,0.7009871006011963,solid
1,stellar,0.6573545932769775,solid
2,decent,0.591903567314148,solid
3,good,0.5806034803390503,solid
4,unspectacular,0.5649611949920654,solid
5,robust,0.5625173449516296,solid
6,terrific,0.5559017658233643,solid
7,excellent,0.5502715110778809,solid
8,solidly,0.5466957688331604,solid
9,Solid,0.5455788373947144,solid
10,red,0.7225173711776733,blue
11,purple,0.7134225368499756,blue
12,white,0.6606028079986572,blue
13,maroon,0.6557417511940002,blue
14,colored,0.6422423720359802,blue
15,orange,0.642189085483551,blue
16,yellow,0.6376121044158936,blue
17,teal,0.6356961131095886,blue
18,pink,0.6343377828598022,blue
19,crimson,0.6294494271278381,blue
20,male,0.8405333757400513,female
21,Female,0.7159764766693115,female
22,females,0.6656177639961243,female
23,males,0.5729262828826904,female
24,women,0.5556280612945557,female
25,Male,0.5534579753875732,female
26,woman,0.49690482020378113,female
27,gender,0.48150789737701416,female
28,nonwhite,0.4687488079071045,female
29,FEMALE,0.45988020300865173,female
30,No,0.7029597759246826,no
31,whatsoever,0.6827249526977539,no
32,any,0.6351684927940369,no
33,there,0.6209566593170166,no
34,nothing,0.6145060062408447,no
35,definite,0.6058636903762817,no
36,nobody,0.6051068305969238,no
37,none,0.5871269702911377,no
38,neither,0.5229798555374146,no
39,not,0.5200427174568176,no
40,Adult,0.670067310333252,adult
41,adults,0.6553987860679626,adult
42,adolescent,0.5659906268119812,adult
43,ages,0.5199162364006042,adult
44,Adults,0.5198367238044739,adult
45,preteen,0.5066378116607666,adult
46,teen,0.501996636390686,adult
47,grownup,0.4941805601119995,adult
48,juvenile,0.4882521629333496,adult
49,teens,0.48634445667266846,adult
50,brown,0.6466139554977417,gray
51,blue,0.6288720369338989,gray
52,grayish,0.6241897344589233,gray
53,greyish,0.6196948289871216,gray
54,beige,0.6025359630584717,gray
55,white,0.598164975643158,gray
56,burgundy,0.5963321924209595,gray
57,dark,0.5935567617416382,gray
58,tannish,0.5834755301475525,gray
59,blueish,0.5655114054679871,gray
60,leggings,0.6270697116851807,sleeveless
61,shirtdress,0.6057611703872681,sleeveless
62,cardigan,0.605254054069519,sleeveless
63,drapey,0.5963807106018066,sleeveless
64,camisole,0.5923891067504883,sleeveless
65,sequinned,0.5881722569465637,sleeveless
66,capri,0.5856368541717529,sleeveless
67,sequined,0.5828273296356201,sleeveless
68,bustier,0.5803391933441162,sleeveless
69,strapless,0.5774657726287842,sleeveless
70,rounds,0.6582127213478088,round
71,Round,0.59800785779953,round
72,seeded,0.4568633437156677,round
73,seed,0.43719637393951416,round
74,knockout,0.4369330406188965,round
75,tournament,0.43564945459365845,round
76,rounders,0.4356311857700348,round
77,final,0.43470123410224915,round
78,pick,0.4333782196044922,round
79,wildcard,0.4241001009941101,round
80,white,0.8092215061187744,black
81,blacks,0.5892223119735718,black
82,brown,0.5766680240631104,black
83,blue,0.5492397546768188,black
84,nonblack,0.5476846694946289,black
85,whites,0.5475280284881592,black
86,colorism,0.5328633785247803,black
87,gray,0.5271323919296265,black
88,colored,0.5222643613815308,black
89,nonblacks,0.507767915725708,black
90,cocktails,0.7902030944824219,cocktail
91,martini,0.6710367202758789,cocktail
92,Cocktail,0.6255161762237549,cocktail
93,martinis,0.5912954211235046,cocktail
94,Cocktails,0.5862714052200317,cocktail
95,manhattans,0.5495961904525757,cocktail
96,margarita,0.5488458871841431,cocktail
97,libations,0.5465850830078125,cocktail
98,bellini,0.5412982106208801,cocktail
99,appletini,0.5344551801681519,cocktail
100,Casual,0.7357800602912903,casual
101,dressy,0.5223982930183411,casual
102,casuals,0.5125470161437988,casual
103,afterwork,0.468073308467865,casual
104,chic,0.4390287697315216,casual
105,retro,0.4367155432701111,casual
106,unstuffy,0.4360801577568054,casual
107,fashionable,0.4330638647079468,casual
108,trendy,0.4325196444988251,casual
109,stylish,0.4310208857059479,casual
110,turtles,0.7952653765678406,turtle
111,otter,0.6718747019767761,turtle
112,manatee,0.6710109710693359,turtle
113,terrapin,0.6650083065032959,turtle
114,dolphin,0.6598113775253296,turtle
115,tortoise,0.6291955709457397,turtle
116,pelican,0.6236788630485535,turtle
117,reptile,0.6206076741218567,turtle
118,lizard,0.6196492910385132,turtle
119,bird,0.6174386739730835,turtle
120,yellow,0.751919150352478,red
121,blue,0.7225174307823181,red
122,purple,0.6477126479148865,red
123,orange,0.6162858009338379,red
124,pink,0.6084308624267578,red
125,colored,0.5796345472335815,red
126,crimson,0.5773209929466248,red
127,brown,0.5770581960678101,red
128,white,0.5687105655670166,red
129,green,0.5360240936279297,red
130,female,0.8405333161354065,male
131,males,0.7579617500305176,male
132,females,0.7030534744262695,male
133,Male,0.6288970708847046,male
134,Female,0.5971192121505737,male
135,swordtails,0.5205129384994507,male
136,genitally,0.5005853176116943,male
137,Caucasian,0.4953703284263611,male
138,caucasian,0.49351823329925537,male
139,Males,0.49134284257888794,male
140,Yes,0.7293006181716919,yes
141,yeah,0.6455683708190918,yes
142,Uh,0.6219298839569092,yes
143,nope,0.6118059158325195,yes
144,Oh,0.597394585609436,yes
145,Uhh,0.5970300436019897,yes
146,yea,0.5925238132476807,yes
147,SADY,0.5868325233459473,yes
148,Hmm,0.5851925015449524,yes
149,oh,0.5792795419692993,yes
150,purple,0.725391149520874,pink
151,blue,0.6343377828598022,pink
152,fuchsia,0.6262333393096924,pink
153,teal,0.6211913824081421,pink
154,colored,0.6123896837234497,pink
155,yellow,0.6098285913467407,pink
156,red,0.6084308624267578,pink
157,orange,0.6027532815933228,pink
158,mauve,0.5997435450553894,pink
159,turquoise,0.5984963774681091,pink
160,Polo,0.5532954931259155,polo
161,equestrian,0.5207753777503967,polo
162,croquet,0.4980069100856781,polo
163,chukkas,0.4912146329879761,polo
164,tennis,0.45553869009017944,polo
165,soccer,0.45548343658447266,polo
166,chukkers,0.45349812507629395,polo
